mean_reversion_level,action_threshold,threshold_re,threshold_de,enabled,E[Wealth],Std,Sharpe,Trades,Broke%,Min,Median,Max
50.0,2.0,0.0,0.8,True,890.9347719075034,380.34418947983113,2.0795237413491368,326.18,2.0,-97.18997024595774,882.661788768459,1918.5630033539064
50.0,2.0,0.0,1.0,True,758.8599100748297,319.58812538143235,2.061590709255772,256.61,1.0,-89.91946573518726,728.9164381474508,1643.6403311345075
50.0,2.0,0.0,1.2,True,581.8108155696932,244.97609512196624,1.9667666566805797,181.09,1.0,-36.91210182563191,559.50125130775,1277.4788305241436
50.0,2.0,0.0,1.4,True,393.86432691090175,164.6702967720481,1.7845618345954404,106.61,0.0,32.744520423293125,393.8118656448489,867.5976530217158
50.0,2.0,0.0,1.6,True,235.94360099181267,101.00776931090107,1.3458727177053025,46.8,0.0,45.13424399770793,216.64700557409913,613.1369707880185
50.0,2.0,0.0,1.8,True,126.38676323066498,37.086553205405366,0.7114913883886926,8.41,0.0,71.30382726435886,116.30122411852301,316.8210010453255
50.0,2.0,0.0,2.0,True,100.0,0.0,,0.0,0.0,100.0,100.0,100.0
50.0,2.0,0.3,0.0,True,936.2153730467737,455.92892427177003,1.834091518502394,413.96,4.0,-191.3917701552964,925.7016091246272,2056.6292892196425
50.0,2.0,0.3,0.2,True,936.2153730467737,455.92892427177003,1.834091518502394,413.96,4.0,-191.3917701552964,925.7016091246272,2056.6292892196425
50.0,2.0,0.3,0.4,True,952.1105612573106,453.430103209904,1.8792544985987565,409.39,4.0,-170.97169148306511,946.0619211704404,2063.3810510805242
